Dec 12 14:37:01 lvl2: 	EmulationStation - v2.10.0rp, built Oct 31 2021 - 19:34:15
Dec 12 14:37:01 lvl2: 	Parsing XML file "/opt/retropie/supplementary/emulationstation/resources/mamenames.xml"...
Dec 12 14:37:01 lvl2: 	Parsing XML file "/opt/retropie/supplementary/emulationstation/resources/mamebioses.xml"...
Dec 12 14:37:01 lvl2: 	Parsing XML file "/opt/retropie/supplementary/emulationstation/resources/mamedevices.xml"...
Dec 12 14:37:01 lvl2: 	Creating window...
Dec 12 14:37:01 lvl2: 	Created window successfully.
Dec 12 14:37:01 lvl2: 	GL vendor:   Broadcom
Dec 12 14:37:01 lvl2: 	GL renderer: VideoCore IV HW
Dec 12 14:37:01 lvl2: 	GL version:  OpenGL ES-CM 1.1
Dec 12 14:37:01 lvl2: 	Checking available OpenGL extensions...
Dec 12 14:37:01 lvl2: 	 ARB_texture_non_power_of_two: MISSING
Dec 12 14:37:01 lvl2: 	Added known joystick 8Bitdo SN30 Pro (instance ID: 0, device index: 0)
Dec 12 14:37:01 lvl2: 	Loading system config file /etc/emulationstation/es_systems.cfg...
Dec 12 14:37:01 lvl1: 	  Warning from theme "/etc/emulationstation/themes/carbon/auto-allgames/theme.xml"
  (from included file "/etc/emulationstation/themes/carbon/auto-allgames/../carbon.xml")
    could not find file "" 
Dec 12 14:37:01 lvl1: 	  Warning from theme "/etc/emulationstation/themes/carbon/auto-favorites/theme.xml"
  (from included file "/etc/emulationstation/themes/carbon/auto-favorites/../carbon.xml")
    could not find file "" 
Dec 12 14:37:01 lvl1: 	  Warning from theme "/etc/emulationstation/themes/carbon/auto-lastplayed/theme.xml"
  (from included file "/etc/emulationstation/themes/carbon/auto-lastplayed/../carbon.xml")
    could not find file "" 
Dec 12 14:37:01 lvl1: 	  Warning from theme "/etc/emulationstation/themes/carbon/custom-collections/theme.xml"
  (from included file "/etc/emulationstation/themes/carbon/custom-collections/../carbon.xml")
    could not find file "" 
Dec 12 14:37:02 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/amstradcpc/gamelist.xml"...
Dec 12 14:37:02 lvl1: 	  Warning from theme "/etc/emulationstation/themes/carbon/amstradcpc/theme.xml"
  (from included file "/etc/emulationstation/themes/carbon/amstradcpc/../carbon.xml")
    could not find file "" 
Dec 12 14:37:02 lvl1: 	System "amstradcpc" has no games! Ignoring it.
Dec 12 14:37:02 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/atari2600/gamelist.xml"...
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/128 in 1 Game Select ROM (128 in 1) (Unknown) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/2 Pak Special - Cavern Blaster, City War (1992) (HES) (773-867) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/2 Pak Special - Challenge, Surfing (1990) (HES) (771-333) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/2 Pak Special - Dolphin, Oink (1990) (HES) (771-341) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/2 Pak Special - Dolphin, Pigs n' Wolf (1990) (HES) (771-341) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/2 Pak Special - Dungeon Master, Creature Strike (1992) (HES) (773-891) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/2 Pak Special - Hoppy, Alien Force (1992) (HES) (773-875) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/2 Pak Special - Moto-Cross, Boom Bang (1990) (HES) (701-157) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/2 Pak Special - Space Voyage, Fire Alert (1992) (HES) (773-883) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/2 Pak Special - Star Warrior, Frogger (1990) (HES) (771-422) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/2 Pak Special - Wall Defender, Planet Patrol (1990) (HES) (771-406) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/208 in 1 Game Select ROM (208 in 1) (Unknown) (PAL) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/3-D Genesis (1983) (Amiga - Video Soft, Jerry Lawson, Dan McElroy) (Prototype) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/3-D Ghost Attack (1983) (Amiga - Video Soft, Michael K. Glass, Jerry Lawson) (Prototype) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/3-D Havoc (1983) (Amiga - Video Soft, Frank Ellis, Jerry Lawson) (2110) (Prototype) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/3-D Tic-Tac-Toe (1980) (Atari, Carol Shaw - Sears) (CX2618 - 49-75123) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/3-D Tic-Tac-Toe (1980) (Atari, Carol Shaw) (CX2618, CX2618P) (PAL).bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/3-D Zapper (12-15-82) (U.S. Games Corporation - JWDA, Todd Marshall) (Prototype) ~.bin" does not exist! Ignoring.
Dec 12 14:37:02 lvl1: 	File "/home/gabriel/RetroPie/roms/atari2600/#/3-D Zapper (U.S. Games Corporation - JWDA, Todd Marshall) (Prototype).bin" does not exist! Ignoring.
