--- The following is a list of skipped games ---
'1944d', No returned matches
'1944', No returned matches
'19xxa', No returned matches
'19xxb', No returned matches
'1944j', No returned matches
'19xxd', No returned matches
'19xxh', No returned matches
'19xxj', No returned matches
'19xx', No returned matches
'19xxjr1', No returned matches
'armwara', No returned matches
'armwar1d', No returned matches
'armwarr1', No returned matches
'armwaru', No returned matches
'armwaru1', No returned matches
'avsp', No returned matches
'avspa', No returned matches
'avspd', No returned matches
'avsph', No returned matches
'avspj', No returned matches
'avspu', No returned matches
'batcir', No returned matches
'batcira', No returned matches
'batcird', No returned matches
'choko', No returned matches
'batcirj', No returned matches
'csclub', No returned matches
'csclub1', No returned matches
'csclubh', No returned matches
'csclubj', No returned matches
'armwar', No returned matches
'csclubjr', No returned matches
'cybotsj', No returned matches
'cscluba', No returned matches
'cybotsu', No returned matches
'ddsom', No returned matches
'cybots', No returned matches
'ddsoma', No returned matches
'ddsomb', No returned matches
'ddsomj', No returned matches
'ddsomr1', No returned matches
'ddsomjr1', No returned matches
'ddsomr2', No returned matches
'ddsomr3', No returned matches
'ddsomu', No returned matches
'ddsomud', No returned matches
'ddsomur1', No returned matches
'ddtodd', No returned matches
'ddtoda', No returned matches
'ddtodh', No returned matches
'ddtodjr1', No returned matches
'ddtodjr2', No returned matches
'ddtodj', No returned matches
'ddtodu', No returned matches
'ddtodr1', No returned matches
'ddtodur1', No returned matches
'dimahoo', No returned matches
'dimahoou', No returned matches
'dimahoud', No returned matches
'dstlk', No returned matches
'dstlka', No returned matches
'dstlku', No returned matches
'dstlku1d', No returned matches
'ecofghta', No returned matches
'dstlkur1', No returned matches
'ecofghtu', No returned matches
'ecofghtr', No returned matches
'ecofgtu1', No returned matches
'ddtod', No returned matches
'gigamn2', No returned matches
'gigawing', No returned matches
'gmahou', No returned matches
'gwinga', No returned matches
'gwingb', No returned matches
'gwingj', No returned matches
'gwingjd', No returned matches
'hsf2', No returned matches
'hsf2j', No returned matches
'hsf2d', No returned matches
'jyangoku', No returned matches
'megaman2', No returned matches
'megamn2a', No returned matches
'megamn2d', No returned matches
'mmancp2u', No returned matches
'mmatrix', No returned matches
'mmatrixd', No returned matches
'mmatrixj', No returned matches
'mpang', No returned matches
'mpangj', No returned matches
'mpangu', No returned matches
'msh', No returned matches
'msha', No returned matches
'mshb', No returned matches
'mshh', No returned matches
'mshj', No returned matches
'mshjr1', No returned matches
'mshu', No returned matches
'mshud', No returned matches
'mshvsf', No returned matches
'mshvsfa1', No returned matches
'mshvsfb', No returned matches
'mshvsfb1', No returned matches
'mshvsfh', No returned matches
'mshvsfa', No returned matches
'mshvsfj', No returned matches
'mshvsfj2', No returned matches
'mshvsfu', No returned matches
'mshvsfu1', No returned matches
'mshvsfj1', No returned matches
'mvsca', No returned matches
'mvscar1', No returned matches
'mvscb', No returned matches
'mvscj', No returned matches
'mvsch', No returned matches
'mvscjr1', No returned matches
'mvscr1', No returned matches
'mvscu', No returned matches
'mvscud', No returned matches
'neogeo', No returned matches
'nwarrb', No returned matches
'nwarr', No returned matches
'nwarrh', No returned matches
'nwarrud', No returned matches
'nwarru', No returned matches
'pfghtj', No returned matches
'pgear', No returned matches
'pgearr1', No returned matches
'progear', No returned matches
'progeara', No returned matches
'mvsc', No returned matches
'progearj', No returned matches
'progerjd', No returned matches
'pzloop2', No returned matches
'pzloop2j', No returned matches
'qndream', No returned matches
'rckman2j', No returned matches
'ringdest', No returned matches
'ringdstd', No returned matches
'rmancp2j', No returned matches
'sfa', No returned matches
'sfa2', No returned matches
'sfa2u', No returned matches
'sfa3', No returned matches
'sfa3b', No returned matches
'sfa3u', No returned matches
'sfa3ud', No returned matches
'sfa3ur1', No returned matches
'sfad', No returned matches
'sfar1', No returned matches
'sfar2', No returned matches
'sfar3', No returned matches
'sfau', No returned matches
'sfz2a', No returned matches
'sfz2ad', No returned matches
'sfz2al', No returned matches
'sfz2alb', No returned matches
'sfz2ald', No returned matches
'sfz2alh', No returned matches
'sfz2alj', No returned matches
'sfz2b', No returned matches
'sfz2br1', No returned matches
'sfz2j', No returned matches
'sfz2n', No returned matches
'sfz3ar1', No returned matches
'sfz3j', No returned matches
'sfz3jr1', No returned matches
'sfz3a', No returned matches
'sfz3jr2', No returned matches
'sfzb', No returned matches
'sfzbr1', No returned matches
'sfza', No returned matches
'sfzh', No returned matches
'sfz2h', No returned matches
'sfzj', No returned matches
'sfzjr1', No returned matches
'sfzjr2', No returned matches
'sgemf', No returned matches
'sgemfa', No returned matches
'sgemfd', No returned matches
'smbombr1', No returned matches
'sgemfh', No returned matches
'spf2t', No returned matches
'spf2ta', No returned matches
'spf2xj', No returned matches
'spf2xjd', No returned matches
'ssf2', No returned matches
'ssf2a', No returned matches
'ssf2ar1', No returned matches
'smbomb', No returned matches
'ssf2j', No returned matches
'ssf2jr1', No returned matches
'ssf2t', No returned matches
'ssf2ta', No returned matches
'ssf2tb', No returned matches
'ssf2jr2', No returned matches
'ssf2tbd', No returned matches
'ssf2tbj', No returned matches
'ssf2tbr1', No returned matches
'ssf2tu', No returned matches
'ssf2tur1', No returned matches
'ssf2u', No returned matches
'ssf2ud', No returned matches
'ssf2xj', No returned matches
'ssf2xjd', No returned matches
'uecology', No returned matches
'vampj', No returned matches
'vampja', No returned matches
'vampjr1', No returned matches
'vhunt2', No returned matches
'vhunt2r1', No returned matches
'vhuntj', No returned matches
'vhuntjr1', No returned matches
'vhuntjr2', No returned matches
'vsav', No returned matches
'vsav2', No returned matches
'vsava', No returned matches
'vsavd', No returned matches
'vsavh', No returned matches
'vsavj', No returned matches
'vsavu', No returned matches
'xmcota', No returned matches
'xmcotaa', No returned matches
'xmcotad', No returned matches
'xmcotah', No returned matches
'xmcotaj', No returned matches
'xmcotaj1', No returned matches
'xmcotaj2', No returned matches
'xmcotau', No returned matches
'xmvsf', No returned matches
'xmvsfa', No returned matches
'xmvsfar1', No returned matches
'xmvsfh', No returned matches
'xmvsfj', No returned matches
'xmvsfjr1', No returned matches
'xmvsfb', No returned matches
'xmvsfjr2', No returned matches
'xmvsfu1d', No returned matches
'xmvsfu', No returned matches
'xmvsfur1', No returned matches
'jojo', No returned matches
'jojoba', No returned matches
'xmvsfr1', No returned matches
'redearth', No returned matches
'xmcotajr', No returned matches
'sfiii', No returned matches
'sfiii2', No returned matches
'sfiii3', No returned matches
'1941', No returned matches
'1941j', No returned matches
'3wonderh', No returned matches
'3wonders', No returned matches
'area88', No returned matches
'3wonderu', No returned matches
'captcomb', No returned matches
'captcomj', No returned matches
'captcomm', No returned matches
'cawing', No returned matches
'cawingj', No returned matches
'cawingr1', No returned matches
'cawingu', No returned matches
'chikij', No returned matches
'cworld2j', No returned matches
'daimakai', No returned matches
'daimakr2', No returned matches
'captcomu', No returned matches
'dino', No returned matches
'dinoh', No returned matches
'dinoj', No returned matches
'dinopic', No returned matches
'dinopic2', No returned matches
'dinou', No returned matches
'dynwar', No returned matches
'dynwarj', No returned matches
'dynwaru', No returned matches
'ffight', No returned matches
'ffightj', No returned matches
'ffightj1', No returned matches
'ffightj2', No returned matches
'ffightu', No returned matches
'ffightua', No returned matches
'forgott1', No returned matches
'forgottn', No returned matches
'ghoulsu', No returned matches
'ghouls', No returned matches
'knights', No returned matches
'knightsh', No returned matches
'knightsj', No returned matches
'knightsu', No returned matches
'kod', No returned matches
'kodj', No returned matches
'kodu', No returned matches
'ffightub', No returned matches
'lostwrld', No returned matches
'mbomberj', No returned matches
'mbombrd', No returned matches
'mbombrdj', No returned matches
'megaman', No returned matches
'mercsu', No returned matches
'mercsj', No returned matches
'mercsua', No returned matches
'mswordr1', No returned matches
'mercs', No returned matches
'mswordj', No returned matches
'mswordu', No returned matches
'mtwins', No returned matches
'nemo', No returned matches
'nemoj', No returned matches
'pang3', No returned matches
'neogeo', No returned matches
'msword', No returned matches
'pnickj', No returned matches
'pang3j', No returned matches
'punipic3', No returned matches
'punisher', No returned matches
'punipic', No returned matches
'punipic2', No returned matches
'punishrj', No returned matches
'punishru', No returned matches
'qtono2', No returned matches
'rockmanj', No returned matches
'qad', No returned matches
'sf2', No returned matches
'qadj', No returned matches
'sf2accp2', No returned matches
'sf2cej', No returned matches
'sf2ceub', No returned matches
'sf2ceuc', No returned matches
'sf2ce', No returned matches
'sf2ceua', No returned matches
'sf2eb', No returned matches
'sf2hf', No returned matches
'sf2jc', No returned matches
'sf2koryu', No returned matches
'sf2ja', No returned matches
'sf2m1', No returned matches
'sf2j', No returned matches
'sf2m2', No returned matches
