--- The following is a list of skipped games ---
'Yggdra Union - We'll Never Fight Alone', No returned matches
'Zidane - Football Generation 2002', No returned matches
'Zoey 101', No returned matches
'ZatchBell! - Electric Arena', No returned matches
'Yoshi's Universal Gravitation', No returned matches
'Zapper', No returned matches
'Zone of the Enders - the Fist of Mars', No returned matches
'Zooo', No returned matches
'Yu Yu Hakusho - Spirit Detective', No returned matches
'Yu Yu Hakusho - Tournament Tactics', No returned matches
'Zoo Cube', No returned matches
'Zoids - Legacy', No returned matches
'Yu-Gi-Oh! - Destiny Board Traveler', No returned matches
'Yu-Gi-Oh! - 7 Trials to Glory - World Championship Tournament 2005', No returned matches
'Yu-Gi-Oh! - World Championship 2004', No returned matches
'Yu-Gi-Oh! - Dungeon Dice Monsters', No returned matches
'Yu-Gi-Oh! - Worldwide Edition', No returned matches
'Yu-Gi-Oh! - Reshef of Destruction', No returned matches
'Yu-Gi-Oh! - the Eternal Duelist Soul', No returned matches
'Yu-Gi-Oh! - the Sacred Cards', No returned matches
'Yu-Gi-Oh! - Ultimate Masters 2006', No returned matches
'Hamtaro - Ham Ham Games', No returned matches
'Quad Desert Fury', No returned matches
'Hamtaro - Rainbow Rescue', No returned matches
'Hamtaro - Ham Ham Heartbreak', No returned matches
'Yu-Gi-Oh! GX - Duel Academy', No returned matches
'Happy Feet', No returned matches
'Harlem Globetrotters - World Tour  2', No returned matches
'Hardcore Pinball', No returned matches
'Hardcore Pool', No returned matches
'Harlem Globetrotters - World Tour', No returned matches
'Harry Potter - Quidditch World Cup', No returned matches
'Harry Potter and the Chamber of Secrets', No returned matches
'Happy Feet  2', No returned matches
'Harry Potter and the Goblet of Fire', No returned matches
'Harry Potter and the Order of the Phoenix', No returned matches
'Harry Potter and the Prisoner of Azkaban', No returned matches
'Harvest Moon - More Friends of Mineral Town  2', No returned matches
'Harry Potter and the Sorcerer's Stone', No returned matches
'Harvest Moon - Friends of Mineral Town', No returned matches
'Harry Potter Collection', No returned matches
'Heidi - the Game', No returned matches
'Hello Kitty - Happy Party Pals # GBA 2', No returned matches
'Hello Kitty - Happy Party Pals', No returned matches
'He-Man and the Power of Grayskull', No returned matches
'Hey Arnold - the Movie', No returned matches
'Herbie - Fully Loaded', No returned matches
'High Heat - Major League Baseball 2002', No returned matches
'Hi Hi Puffy Amiyumi - Kaznapped! # GBA 2', No returned matches
'High Heat Major League Baseball 2003', No returned matches
'Hi Hi Puffy Amiyumi - Kaznapped!', No returned matches
'Harvest Moon - More Friends of Mineral Town', No returned matches
'High School Musical - Livin the Dream', No returned matches
'Horsez', No returned matches
'Home on the Range', No returned matches
