--- The following is a list of skipped games ---
'YARD', No returned matches
'yamato', No returned matches
'YIEAR', No returned matches
'yamato2', No returned matches
'yamyam', No returned matches
'yankeedo', No returned matches
'yiear2', No returned matches
'yesnoj', No returned matches
'yokaidko', No returned matches
'yamagchi', No returned matches
'yosakdon', No returned matches
'youkaidk', No returned matches
'youma', No returned matches
'yuyugogo', No returned matches
'yanchamr', No returned matches
'QBERTJP', No returned matches
'QBERTQUB', No returned matches
'QIX', No returned matches
'QIX2', No returned matches
'QUANTUM', No returned matches
'QUARTET2', No returned matches
'qad', No returned matches
'qadj', No returned matches
'qcrayon', No returned matches
'qcrayon2', No returned matches
'qixa', No returned matches
'qixb', No returned matches
'qjinsei', No returned matches
'qmhayaku', No returned matches
'qsangoku', No returned matches
'qtono1', No returned matches
'qtono2', No returned matches
'qtorimon', No returned matches
'quantum1', No returned matches
'QWAKPROT', No returned matches
'QUANTUM2', No returned matches
'quantump', No returned matches
'quarterb', No returned matches
'quartet', No returned matches
'quartetj', No returned matches
'quarth', No returned matches
'quartrba', No returned matches
'quester', No returned matches
'quizhq', No returned matches
'qzchikyu', No returned matches
'qzquest', No returned matches
'qzshowby', No returned matches
'HANGLY', No returned matches
'QBERT', No returned matches
'HELIFIRE', No returned matches
'HUNCHY', No returned matches
'HEXA', No returned matches
'HBARREL', No returned matches
'hachoo', No returned matches
'hal21', No returned matches
'hal21j', No returned matches
'hamburge', No returned matches
'hanaawas', No returned matches
'HWCHAMP', No returned matches
'hanamomo', No returned matches
'hanaoji', No returned matches
'hangly2', No returned matches
'hangon', No returned matches
'harddriv', No returned matches
'hardhat', No returned matches
'hatena', No returned matches
'hatris', No returned matches
'hattrick', No returned matches
'hbarrelw', No returned matches
'hcastle', No returned matches
'hcastlea', No returned matches
'HEADON', No returned matches
'hcastlej', No returned matches
'hdrivaip', No returned matches
'hdrivair', No returned matches
'headon2', No returned matches
'headonb', No returned matches
'heberpop', No returned matches
'heiankyo', No returned matches
'helifira', No returned matches
'hellfire', No returned matches
'herbiedk', No returned matches
'hharry', No returned matches
'higemaru', No returned matches
'hharryu', No returned matches
'hiimpact', No returned matches
'hippodrm', No returned matches
'hitice', No returned matches
'hishouza', No returned matches
'hitnmiss', No returned matches
'hitnmis2', No returned matches
'hoccer', No returned matches
'hoccer2', No returned matches
'homo', No returned matches
'hook', No returned matches
'hooku', No returned matches
'hopmappy', No returned matches
'hopprobo', No returned matches
'horshoes', No returned matches
'hotchase', No returned matches
'hotpinbl', No returned matches
'hotshock', No returned matches
'housemn2', No returned matches
'housemnq', No returned matches
'hpolym84', No returned matches
'hpuncher', No returned matches
'hthero', No returned matches
'hunchbkd', No returned matches
'hunchbks', No returned matches
'hustler', No returned matches
'hustle', No returned matches
'hustlerb', No returned matches
'hvymetal', No returned matches
'hwrace', No returned matches
'hydra', No returned matches
'hydrap', No returned matches
'hyhoo', No returned matches
'hyhoo2', No returned matches
'hyprolyb', No returned matches
'hypsptsp', No returned matches
'hyprolym', No returned matches
'HYPERSPT', No returned matches
'LADYBUG', No returned matches
'LAZERCMD', No returned matches
'LDRUN', No returned matches
'LEPRECHN', No returned matches
'LIBERATR', No returned matches
'LOCOMOTN', No returned matches
'LDRUN2P', No returned matches
'LRESCUE', No returned matches
'LBOWLING', No returned matches
'LOSTTOMB', No returned matches
'LUPIN3', No returned matches
'Lottofun', No returned matches
'labyrunr', No returned matches
'ladybugb', No returned matches
'lagunar', No returned matches
'laser', No returned matches
'lasso', No returned matches
'lastday', No returned matches
'lastdaya', No returned matches
'lastduel', No returned matches
'lastmiss', No returned matches
'lastmss2', No returned matches
'ldrun2', No returned matches
'ldrun3', No returned matches
'LUNARL', No returned matches
'ldrun4', No returned matches
'ldruna', No returned matches
'ledstorm', No returned matches
'legofair', No returned matches
'lethalth', No returned matches
'lgtnfght', No returned matches
'levers', No returned matches
'liblrabl', No returned matches
'lifefrce', No returned matches
'lifefrcj', No returned matches
'liquidk', No returned matches
'liquidku', No returned matches
'lizwiz', No returned matches
'lkage', No returned matches
'lkageb', No returned matches
'lkageb2', No returned matches
'lkageb3', No returned matches
'llander', No returned matches
'llander1', No returned matches
'lnc', No returned matches
'logicpr2', No returned matches
'logicpro', No returned matches
'loht', No returned matches
'LRUNNER', No returned matches
'lomakai', No returned matches
'looper', No returned matches
'lordofk', No returned matches
'losttmbh', No returned matches
'lostwrld', No returned matches
'lotlot', No returned matches
'lstduela', No returned matches
'lstduelb', No returned matches
'lwings', No returned matches
'lwings2', No returned matches
'lwingsjp', No returned matches
'lsasquad', No returned matches
'JACKAL', No returned matches
'JANSHIN', No returned matches
'JAPIREM', No returned matches
'JACK', No returned matches
'JBUGSEGA', No returned matches
'JJACK', No returned matches
'JACKRABT', No returned matches
'JOUSTG', No returned matches
'JOUSTR', No returned matches
'JOUST', No returned matches
'JOURNEY', No returned matches
'JUMPBUG', No returned matches
'jack2', No returned matches
'jack3', No returned matches
'jackalj', No returned matches
'jackrab2', No returned matches
'jackrabs', No returned matches
'jailbrek', No returned matches
'jedi', No returned matches
'jhunt', No returned matches
'joemac', No returned matches
'joust2', No returned matches
'joyfulr', No returned matches
'jrpacman', No returned matches
'jspecter', No returned matches
'JOUSTWR', No returned matches
'jumpbugb', No returned matches
'jumpcoas', No returned matches
'jungleh', No returned matches
'jumpshot', No returned matches
'junglek', No returned matches
'jungler', No returned matches
'junglers', No returned matches
'junglkj2', No returned matches
'junofstg', No returned matches
'jyuohki', No returned matches
'JUNOFRST', No returned matches
'BERZERK', No returned matches
'JUMPING', No returned matches
'BERZERK1', No returned matches
'BLASTER', No returned matches
'BOMBJACK', No returned matches
'BLUEPRNT', No returned matches
'BLOCKADE', No returned matches
'BOSCONM', No returned matches
'BOSCO', No returned matches
'BUBBLES', No returned matches
'BRKTHRU', No returned matches
'BOWLRAMA', No returned matches
'BZONE', No returned matches
'BZONE1', No returned matches
'BZONE2', No returned matches
'Blockout', No returned matches
'BWIDOW', No returned matches
'badlands', No returned matches
'baddudes', No returned matches
'bagman', No returned matches
'bagmans2', No returned matches
'bagmans', No returned matches
'bagnard', No returned matches
'ballbros', No returned matches
'ballbomb', No returned matches
'baluba', No returned matches
'bandido', No returned matches
'bananadr', No returned matches
'bankp', No returned matches
'baraduke', No returned matches
'barrier', No returned matches
'batman', No returned matches
'basebal2', No returned matches
'batrider', No returned matches
'batsugun', No returned matches
'batridra', No returned matches
'battlan3', No returned matches
'BUBBLESR', No returned matches
'battlan2', No returned matches
'battlane', No returned matches
'battleg', No returned matches
'battlera', No returned matches
'battlntj', No returned matches
'battlnts', No returned matches
'battroad', No returned matches
'batugnsp', No returned matches
'bayroute', No returned matches
'bayrouta', No returned matches
'bayrtbl1', No returned matches
'bayrtbl2', No returned matches
'bbmanw', No returned matches
'bbmanwj', No returned matches
'bbros', No returned matches
'bchopper', No returned matches
'beastf', No returned matches
'beezer', No returned matches
'beezer1', No returned matches
'berabohm', No returned matches
'berlwall', No returned matches
'berlwalt', No returned matches
'bermudaa', No returned matches
'bermudaj', No returned matches
'bermudat', No returned matches
'bigkarnk', No returned matches
'bigprowr', No returned matches
'bigstrik', No returned matches
'bijokkog', No returned matches
'bigtwin', No returned matches
'bijokkoy', No returned matches
'billiard', No returned matches
'bioatack', No returned matches
'biomtoy', No returned matches
'bionicc', No returned matches
'bionicc2', No returned matches
'bioship', No returned matches
'bjtwin', No returned matches
'bktigerb', No returned matches
'bking2', No returned matches
'bladestl', No returned matches
'bladstle', No returned matches
'blandia', No returned matches
'blasted', No returned matches
'blasto', No returned matches
'blastoff', No returned matches
'blazeon', No returned matches
'blazer', No returned matches
'blckgalb', No returned matches
'blckout2', No returned matches
'bldwolf', No returned matches
'blkdrgnb', No returned matches
'blkdrgon', No returned matches
'blkhole', No returned matches
'blktiger', No returned matches
'block', No returned matches
'blockbl', No returned matches
'blocken', No returned matches
'blockgal', No returned matches
'blockhl', No returned matches
'blockj', No returned matches
'bloodbro', No returned matches
'bloxeed', No returned matches
'bloxeedc', No returned matches
'blsthead', No returned matches
'blstroi2', No returned matches
'blstroid', No returned matches
'bluehawk', No returned matches
'blswhstl', No returned matches
'blueprnj', No returned matches
'blueshrk', No returned matches
'bmaster', No returned matches
'bnj', No returned matches
'boblbobl', No returned matches
'bodyslam', No returned matches
'bogeyman', No returned matches
'bombbee', No returned matches
'bombjac2', No returned matches
'bombrman', No returned matches
'bootcamp', No returned matches
'boothill', No returned matches
'borench', No returned matches
'boscomd', No returned matches
'boscomdo', No returned matches
'boscoo', No returned matches
'boscoo2', No returned matches
'bottom9', No returned matches
'bottom9n', No returned matches
'bouldash', No returned matches
'bowler', No returned matches
'boxingb', No returned matches
'brain', No returned matches
'breywood', No returned matches
'brkthruj', No returned matches
'brix', No returned matches
'brutforc', No returned matches
'bsktball', No returned matches
'brubber', No returned matches
'bssoccer', No returned matches
'btime', No returned matches
'btimea', No returned matches
'btimem', No returned matches
'btlfield', No returned matches
'btlkrodj', No returned matches
'btime2', No returned matches
'bubbobr1', No returned matches
