--- The following is a list of skipped games ---
'1941j', No returned matches
'1941', No returned matches
'005', No returned matches
'1942', No returned matches
'1942b', No returned matches
'1942a', No returned matches
'1943j', No returned matches
'280zzzap', No returned matches
'3wonderj', No returned matches
'3wonders', No returned matches
'4dwarrio', No returned matches
'600', No returned matches
'64streej', No returned matches
'64street', No returned matches
'720', No returned matches
'720b', No returned matches
'800fath', No returned matches
'88games', No returned matches
'99lstwar', No returned matches
'99lstwra', No returned matches
'1943', No returned matches
'1943KAI', No returned matches
'3STOOGES', No returned matches
