--- The following is a list of skipped games ---
'Ys - The Vanished Omens (J) [b1]', No returned matches
'Quartet (UE) [!]', No returned matches
'Ys - The Vanished Omens (UE) [T+Fre_Crispysix]', No returned matches
'Ys - The Vanished Omens (UE) [!]', No returned matches
'Quartet (UE) [o1]', No returned matches
'Hang-On & Safari Hunt (UE) [!]', No returned matches
'Haja no Fuuin (J) [!]', No returned matches
'Hang-On & Safari Hunt (UE) [b1]', No returned matches
'Hang-On (J) [!]', No returned matches
'Hang-On (UE) [T+Por]', No returned matches
'Hang-On (UE) [T-Por]', No returned matches
'Happy Looser by Zoop (PD) [a1]', No returned matches
'Hang-On (UE) [!]', No returned matches
'Happy Looser by Zoop (PD)', No returned matches
'Heavyweight Champ (UE) [!]', No returned matches
'Heroes of the Lance (UE) [!]', No returned matches
'High School Kimengumi (J) [!]', No returned matches
'Hokuto no Ken (J) [p1][!]', No returned matches
'Hokuto no Ken (J) [!]', No returned matches
'Hook (UE) (Proto) [!]', No returned matches
'Hook (UE) (Proto) [T+Por]', No returned matches
'Hoshi wo Sagasite (The Story of Mio) (J) [!]', No returned matches
'Home Alone (UE) [!]', No returned matches
'Lemmings (UE) [!]', No returned matches
'Laser Ghost (UE) [!]', No returned matches
'Laser Ghost (UE) [b1]', No returned matches
'Lemmings (UE) [a1][!]', No returned matches
'Line of Fire (UE) [!]', No returned matches
'Lion King, The (UE) [!]', No returned matches
'Lord of the Sword (J) [!]', No returned matches
'Lord of the Sword (UE) [!]', No returned matches
'Lord of the Sword (UE) [b1]', No returned matches
'Lord of the Sword (UE) [b2]', No returned matches
'Loletta no Syouzou (J) [!]', No returned matches
'Lucky Dime Caper Starring Donald Duck, The (UE) [!]', No returned matches
'Lucky Dime Caper Starring Donald Duck, The (UE) [T+Por]', No returned matches
'James Bond 007 - The Duel (E)', No returned matches
'James Bond 007 - The Duel (U) [!]', No returned matches
'James Bond 007 - The Duel (U) [b1]', No returned matches
'James Pond 2 - Codename Robocod (UE) [!]', No returned matches
'Joe Montana Football (U) [!]', No returned matches
'James Pond 2 - Codename Robocod (UE) [b1]', No returned matches
'Jogos de Verao 2 (Brazil) [!]', No returned matches
