--- The following is a list of skipped games ---
'Yogi Bear's Cartoon Capers (E) [!]', No returned matches
'Yogi Bear's Cartoon Capers (E) [b1]', No returned matches
'Yang Warrior Family, The (Chinese)', No returned matches
'Ya-Se Chuan Shuo (Chinese)', No returned matches
'Yogi Bear's Cartoon Capers (E) [h1]', No returned matches
'Young Indiana Jones - Instrument of Chaos (J) [!]', No returned matches
'Young Indiana Jones - Instrument of Chaos (U) [!]', No returned matches
'Young Indiana Jones - Instrument of Chaos (U) [h1]', No returned matches
'Young Indiana Jones - Instrument of Chaos (U) [h2]', No returned matches
'Young Indiana Jones - Instrument of Chaos (U) [h3]', No returned matches
'Young Indiana Jones - Instrument of Chaos (beta) [o1]', No returned matches
'Young Indiana Jones - Instrument of Chaos (beta)', No returned matches
'Young Indiana Jones Chronicles (U) [x]', No returned matches
'Ys 3 - Wanderer from Ys (J)', No returned matches
'Ys 3 - Wanderer from Ys (U) [!]', No returned matches
'Yu Yu Hakusho - Makyoutohissen (J) [b1]', No returned matches
'Yu Yu Hakusho - Makyoutohissen (J) [h1]', No returned matches
'Yu Yu Hakusho - Makyoutohissen (J) [h3]', No returned matches
'Yu Yu Hakusho - Makyoutohissen (J)', No returned matches
'Yu Yu Hakusho Gaiden - Makyo Issen (J) [b1]', No returned matches
'Yu Yu Hakusho Gaiden - Makyo Issen (J)', No returned matches
'Yu Yu Hakusho - Makyoutohissen (J) [h2]', No returned matches
'Yu Yu Hakusho Gaiden - Makyoutohissen (J) [b1]', No returned matches
'Quack Shot Starring Donald Duck (REV 00) (JUE) [p1][!]', No returned matches
'Quack Shot Starring Donald Duck (REV 00) (JUE) [!]', No returned matches
'Quack Shot Starring Donald Duck (REV 00) (JUE) [t1]', No returned matches
'Quack Shot Starring Donald Duck (REV 01) (JUE) [!]', No returned matches
'Quack Shot Starring Donald Duck (REV 01) (JUE) [b1]', No returned matches
'Quack Shot Starring Donald Duck (REV 00) (JUE) [h1]', No returned matches
'Quad Challenge (U) [c][!]', No returned matches
'Quadrant V0.01 (PD) (JUE)', No returned matches
'Quadrant V0.00 (PD)', No returned matches
'Quadrant V0.02 (PD) (JUE)', No returned matches
'Hard Drivin' (JU) [!]', No returned matches
'Hard Drivin' (JU) [b1]', No returned matches
'Hard Wired (PD) [o1]', No returned matches
'Hard Wired (PD)', No returned matches
'HardBall 3 (JUE) [f1]', No returned matches
'HardBall (U) [!]', No returned matches
'HardBall 3 (JUE) [h1]', No returned matches
'HardBall 3 (JUE)', No returned matches
'HardBall 94 (JUE) [h1]', No returned matches
'HardBall 94 (JUE) [h2]', No returned matches
'Quad Challenge (U) [h1]', No returned matches
'HardBall 94 (JUE) [o1]', No returned matches
'HardBall 94 (JUE) [!]', No returned matches
'HardBall 94 (U) [h1]', No returned matches
'HardBall 94 (JUE) [o1][h1]', No returned matches
'HardBall 95 (F) [!]', No returned matches
'HardBall 95 (JUE) [h1]', No returned matches
'HardBall 95 (F) [o1]', No returned matches
'HardBall 95 (JUE) [o1][h1]', No returned matches
'Haunting, The (UEJ) [!]', No returned matches
'Head-On Soccer (4) [!]', No returned matches
'Head-On Soccer (C) [h1]', No returned matches
'Head-On Soccer (C)', No returned matches
'Heavy Nova (JU) [!]', No returned matches
'Heavy Unit (J) [!]', No returned matches
'Heavy Unit (J) [p1]', No returned matches
'Heavy Unit (J) [p2]', No returned matches
'Hellfire (J) [!]', No returned matches
'Hellfire (E)', No returned matches
'Hellfire (J) [h1]', No returned matches
'HardBall 94 (JUE) [h3]', No returned matches
'Hentai Collection 1 (PD)', No returned matches
'Hellfire (U) [!]', No returned matches
'Hercules (J) [p1][!]', No returned matches
'Herzog Zwei (J) [h1]', No returned matches
