--- The following is a list of skipped games ---
'Quest 64 [N64] [Roms Nintendo en Español]', No returned matches
'Harvest Moon 64 (U) [!]', No returned matches
'Hercules - The Legendary Journeys [N64] [Roms Nintendo en Español]', No returned matches
'Harvest Moon 64 (U) [!]', No returned matches
'Hercules - The Legendary Journeys (U) [!]', No returned matches
'Hot Wheels Turbo Racing (U) [!]', No returned matches
'Hexen (U) [!]', No returned matches
'Hey You, Pikachu! (U) [!]', No returned matches
'LEGO Racers [N64] [Roms Nintendo en Español]', No returned matches
'Hybrid Heaven (U) [!]', No returned matches
'LEGO Racers (U) [!]', No returned matches
'Hydro Thunder (U) [!]', No returned matches
'Looney Tunes - Duck Dodgers (E) [!]', No returned matches
'Lylat Wars (E) [!]', No returned matches
'Lode Runner 3-D (U) [!]', No returned matches
'Lode Runner 3-D [N64] [Roms Nintendo en Español]', No returned matches
'Legend of Zelda, The - Majora's Mask (U) [!]', No returned matches
'Legend of Zelda, The - Majora's Mask (E) [!]', No returned matches
'Legend of Zelda, The - Majora's Mask (S)', No returned matches
'Legend of Zelda, The - Ocarina of Time (S)', No returned matches
'Jeopardy! (U) [!]', No returned matches
'Jeremy McGrath Supercross 2000 (U) [!]', No returned matches
'Jet Force Gemini [N64] [Roms Nintendo en Español]', No returned matches
'Jet Force Gemini (U) [!]', No returned matches
'Bakuretsu Muteki Bangai-O (J) [!]', No returned matches
'Banjo-Kazooie (E) (M3) [T-Spa] SkanderX', No returned matches
'Banjo-Kazooie (U) [!]', No returned matches
'Legend of Zelda, The - Ocarina of Time (U) (V1.2) [!]', No returned matches
'Bass Hunter 64 (E) [!]', No returned matches
'Banjo-Tooie (E) [!]', No returned matches
'Bassmasters 2000 (U) [!]', No returned matches
'BattleTanx (U) [!]', No returned matches
'BattleTanx - Global Assault (U) [!]', No returned matches
'Beetle Adventure Racing! (U) [!]', No returned matches
'Batman Beyond - Return of the Joker (U) [!]', No returned matches
'Beast Wars Transmetal (U) [!]', No returned matches
'Big Mountain 2000 (U) [!]', No returned matches
'Bio F.R.E.A.K.S. (U) [!]', No returned matches
'Body Harvest (U) [!]', No returned matches
'Blast Corps (U) (V1.1) [!]', No returned matches
'Blues Brothers 2000 [ESP]', No returned matches
'Bomberman 64 - The Second Attack! (U) [!]', No returned matches
'Bomberman 64 (U) [!]', No returned matches
'Blast Dozer (J) [!]', No returned matches
