--- The following is a list of skipped games ---
'Yoshi's Cookie', No returned matches
'Yoshi', No returned matches
'Q-bert', No returned matches
'Harlem Globetrotters', No returned matches
'High Speed', No returned matches
'Heavy Shreddin'', No returned matches
'Hatris', No returned matches
'Hollywood Squares', No returned matches
'Heavy Barrel', No returned matches
'Hook', No returned matches
'Hogan's Alley', No returned matches
'Hunt for Red October, The', No returned matches
'Hydlide', No returned matches
'Hudson Hawk', No returned matches
'NES Test Cart (Official Nintendo)', No returned matches
'Hoops', No returned matches
'Home Alone 2 - Lost in New York', No returned matches
'Home Alone', No returned matches
'Lunar Pool', No returned matches
'Laser Invasion', No returned matches
'L'Empereur', No returned matches
'Little Samson', No returned matches
'Legend of Zelda, The', No returned matches
'Lagrange Point', No returned matches
'Lagrange Point (Sub Eng)', No returned matches
'Zelda II - The Adventure of Link', No returned matches
'The Legend of Zelda (Sub Esp)', No returned matches
'Zelda - The Legend of Link', No returned matches
'Jack Nicklaus' - Greatest 18 Holes of Major Championship Golf', No returned matches
'Jackal', No returned matches
'Jackie Chan's Action Kung Fu', No returned matches
'James Bond Jr.', No returned matches
'Jaws', No returned matches
'Joe & Mac', No returned matches
'Jimmy Connors Pro Tennis Tour', No returned matches
'John Elway's Quarterback', No returned matches
'Jetsons - Cogswell's Caper, The', No returned matches
'Jordan vs. Bird - One-on-One', No returned matches
'Journey to Silius', No returned matches
'Joust', No returned matches
'Jungle Book, The', No returned matches
'Jeopardy! 25th Silver Anniversary Edition', No returned matches
'Jeopardy! Junior Edition', No returned matches
'Jurassic Park', No returned matches
'Jeopardy!', No returned matches
'Balloon Fight', No returned matches
'Bad Dudes', No returned matches
'Bad News Baseball', No returned matches
'Bad Street Brawler', No returned matches
'Bandai Golf - Challenge Pebble Beach', No returned matches
'Bandit Kings of Ancient China', No returned matches
'Barker Bill's Trick Shooting', No returned matches
'Barbie', No returned matches
'Baseball Simulator 1.000', No returned matches
'Baseball Stars II', No returned matches
'Base Wars - Cyber Stadium Series', No returned matches
'Baseball', No returned matches
'Bard's Tale', No returned matches
'Baseball Stars', No returned matches
'Battle Tank', No returned matches
'Battle City', No returned matches
'Battle of Olympus, The', No returned matches
'Battle Chess', No returned matches
'Battleship', No returned matches
'Beetlejuice', No returned matches
'Battletoads', No returned matches
'Battletoads & Double Dragon - The Ultimate Team', No returned matches
'Bigfoot', No returned matches
'Best of the Best - Championship Karate', No returned matches
'Black Bass', No returned matches
'Bill & Ted's Excellent Video Game Adventure', No returned matches
'Bill Elliot's Nascar Challenge', No returned matches
'Bionic Commando', No returned matches
'Blades of Steel', No returned matches
'Blaster Master', No returned matches
'Blue Marlin, The', No returned matches
'Blues Brothers, The', No returned matches
'Boulder Dash', No returned matches
'Boy and His Blob, A - Trouble on Blobolonia', No returned matches
'Bo Jackson Baseball', No returned matches
'Bram Stoker's Dracula', No returned matches
'Break Time - The National Pool Tour', No returned matches
'BreakThru', No returned matches
'Burai Fighter', No returned matches
'Bump 'n' Jump', No returned matches
'Bucky O'Hare', No returned matches
'Bonk's Adventure', No returned matches
'Burgertime', No returned matches
'Bomberman', No returned matches
'Bomberman II', No returned matches
'Back to the Future', No returned matches
'Back to the Future Part II & III', No returned matches
'Batman - Return of the Joker', No returned matches
'Bugs Bunny Crazy Castle, The', No returned matches
'Batman - The Video Game', No returned matches
'Bugs Bunny Birthday Blowout, The', No returned matches
'Bases Loaded IV', No returned matches
'Bases Loaded II', No returned matches
'Bases Loaded III', No returned matches
'Battletoads & Double Dragon - The Ultimate Team', No returned matches
'Bases Loaded', No returned matches
'Batman Returns', No returned matches
'Battletoads', No returned matches
'Bubble Bobble', No returned matches
'Bubble Bobble Part 2', No returned matches
'Pac-Man', No returned matches
'Popeye', No returned matches
'Pinball', No returned matches
'Paperboy', No returned matches
'Panic Restaurant', No returned matches
'Paperboy 2', No returned matches
'Puyo Puyo (Sub Eng)', No returned matches
'Puyo Puyo', No returned matches
'Danny Sullivan's Indy Heat', No returned matches
'Dash Galaxy in the Alien Asylum', No returned matches
'Darkman', No returned matches
'Dance Aerobics', No returned matches
'Defender II', No returned matches
'Deadly Towers', No returned matches
'Defender of the Crown', No returned matches
'Day Dreamin' Davey', No returned matches
'Defenders of Dynatron City', No returned matches
'Days of Thunder', No returned matches
'Desert Commander', No returned matches
'Deja Vu', No returned matches
'Destiny of an Emperor', No returned matches
'Demon Sword', No returned matches
'Dick Tracy', No returned matches
'Die Hard', No returned matches
'Destination Earth Star', No returned matches
'Double Dare', No returned matches
'Digger - Legend of the Lost City', No returned matches
'Dr. Chaos', No returned matches
'Dr. Jekyll & Mr. Hyde', No returned matches
'Dr. Mario', No returned matches
'Dragon Fighter', No returned matches
'Dragon Power', No returned matches
'Double Dribble', No returned matches
'Dragon's Lair', No returned matches
'Dragon Spirit - The New Legend', No returned matches
'Duck Hunt', No returned matches
'Dusty Diamond's All-Star Softball', No returned matches
'Dungeon Magic - Sword of the Elements', No returned matches
'Dynowarz - The Destruction of Spondylus', No returned matches
'Dirty Harry', No returned matches
'Double Dragon III - The Sacred Stones', No returned matches
'Double Dragon II - The Revenge', No returned matches
'Duck Tales 2', No returned matches
'Double Dragon', No returned matches
'Donkey Kong Classics', No returned matches
'Duck Tales', No returned matches
'Donkey Kong 3', No returned matches
'Donkey Kong Jr. Math', No returned matches
'Donkey Kong', No returned matches
'Donkey kong Jr.', No returned matches
'Darkwing Duck', No returned matches
'Dig Dug II - Trouble in Paradise', No returned matches
'Dig Dug', No returned matches
'Darkwing Duck New Levels', No returned matches
'Full Pallete', No returned matches
'Demopills 2015', No returned matches
'Bad Apple', No returned matches
'Himno de Chile', No returned matches
'PCM demo wgraphics', No returned matches
'Moon 8', No returned matches
'Shortnes', No returned matches
'Dragon Warrior II', No returned matches
'Windows 98', No returned matches
'Shatterhand', No returned matches
'Dragon Warrior IV', No returned matches
'Dragon Warrior III', No returned matches
'Dragon Warrior', No returned matches
'Silver Surfer', No returned matches
'Solstice - The Quest for the Staff of Demnos', No returned matches
'Snow Brothers', No returned matches
'Space Shuttle Project', No returned matches
'Slalom', No returned matches
'Star Force', No returned matches
'Super Star Force', No returned matches
'Super Mario All-Stars (Emu)', No returned matches
'Super Mario Bros. 2 (MMC3 Version)', No returned matches
'Super Mario Bros 2 (Turbo Edition)', No returned matches
'Super Mario Bros 2', No returned matches
'Super Mario Bros. 3', No returned matches
'Super Mario All-Stars (Cart)', No returned matches
'Super Mario Bros 3 Mix', No returned matches
'Super Mario Bros. + Duck Hunt', No returned matches
'Super Mario Bros. + Duck Hunt + World Class Track Meet', No returned matches
'Communist Mario 3', No returned matches
'Super Mario Bros.', No returned matches
'Extra Mario Bros', No returned matches
'Super Mario Bros. + Tetris + Nintendo World Cup', No returned matches
'Funny Princess', No returned matches
'Super Mario Bros. (Sub Esp)', No returned matches
'Weird Mario Bros', No returned matches
'Pandamar', No returned matches
'Sakura', No returned matches
'Super Mario Unlimited', No returned matches
'Star Wars (JVC)', No returned matches
'Star Wars (Namco)', No returned matches
'Star Wars - The Empire Strikes Back', No returned matches
'Star Trek - The Next Generation', No returned matches
'Star Trek - 25th Anniversary', No returned matches
'Werewolf - The Last Warrior', No returned matches
'Wario's Woods', No returned matches
'A Nightmare on Elm Street', No returned matches
'Abadox', No returned matches
'A Boy and His Blob - Trouble on Blobolonia', No returned matches
'Adventures in the Magic Kingdom', No returned matches
'Adventures of Dino Riki, The', No returned matches
'Adventures of Bayou Billy, The', No returned matches
'Adventures of Rad Gravity, The', No returned matches
'Adventures of Gilligan's Island, The', No returned matches
'After Burner', No returned matches
'Adventures of Tom Sawyer, The', No returned matches
'Air Fortress', No returned matches
'Alfred Chicken', No returned matches
'Airwolf', No returned matches
'Adventures of Rocky & Bullwinkle and Friends, The', No returned matches
'Alpha Mission', No returned matches
'All Pro Basketball', No returned matches
'Amagon', No returned matches
'American Gladiators', No returned matches
'Arch Rivals', No returned matches
'Archon', No returned matches
'Anticipation', No returned matches
'Arkista's Ring', No returned matches
'Al Unser Jr.'s Turbo Racing', No returned matches
'Astyanax', No returned matches
'Athletic World', No returned matches
'Athena', No returned matches
'Arkanoid', No returned matches
'Attack of the Killer Tomatoes', No returned matches
'Adventures of Lolo II , The', No returned matches
'Arkanoid II - Revenge of Doh', No returned matches
'Adventures of Lolo III , The', No returned matches
'Adventure Island III', No returned matches
'Adventures of Lolo, The', No returned matches
'Adventure Island II', No returned matches
'Adventure Island', No returned matches
'Addams Family - Pugsley's Scavenger Hunt, The', No returned matches
'Addams Family, The', No returned matches
'Akira', No returned matches
'Advanced Dungeons & Dragons - Dragonstrike', No returned matches
'Advanced Dungeons & Dragons - Heroes of the Lance', No returned matches
'Advanced Dungeons & Dragons - Pool of Radiance', No returned matches
'Advanced Dungeons & Dragons - Hillsfar', No returned matches
'Alien 3 Plus', No returned matches
'Alien 3', No returned matches
'Karate Kid, The', No returned matches
'Karnov', No returned matches
'Kick Master', No returned matches
'Karate Champ', No returned matches
'Kickle Cubicle', No returned matches
'Kabuki - Quantum Fighter', No returned matches
'Kid Kool', No returned matches
'Kid Klown in Night Mayor World', No returned matches
'Kid Niki', No returned matches
'Kid Icarus', No returned matches
'King's Knight', No returned matches
'Kings of the Beach', No returned matches
'King's Quest V', No returned matches
'KlashBall', No returned matches
'Klax', No returned matches
'King of Kings, The', No returned matches
'Knight Rider', No returned matches
'Kung Fu', No returned matches
'Krion Conquest, The', No returned matches
'Kung Fu Heroes', No returned matches
'Krusty's Funhouse', No returned matches
'Kirby's Adventure (Sub Esp)', No returned matches
'Kiwi Kraze - A Bird-Brained Adventure!', No returned matches
'Kiwi Kraze', No returned matches
'Kirby's Bizzare Dreamland', No returned matches
'Mappy', No returned matches
'Mario Bros.', No returned matches
'Metroid', No returned matches
'Kirby's Adventure', No returned matches
'Micro Mages', No returned matches
'Mario Is Missing!', No returned matches
'Moon Crystal (Sub Eng)', No returned matches
'Moon Crystal', No returned matches
'Metal Gear', No returned matches
'Snake's Revenge', No returned matches
'Mr. Gimmick! (Sub Esp)', No returned matches
